,Extinctions,Tot_Pop,Tot_Pop_A,Tot_Pop_B,Tot_Pop_C,Tot_Pop_D,Pop,Pop_A,Pop_B,Pop_C,Pop_D,Niche,niche_A,niche_B,niche_C,niche_D
48,0,74.0,41.0,33.0,0.0,0.0,[[74.]],[[41.]],[[33.]],[[0.]],[[0.]],[[0.]],[[25.64004618]],[[12.48597481]],[[0.]],[[0.]]
49,0,76.0,42.0,34.0,0.0,0.0,[[76.]],[[42.]],[[34.]],[[0.]],[[0.]],[[0.]],[[25.95064713]],[[12.56606467]],[[0.]],[[0.]]
50,0,77.0,45.0,32.0,0.0,0.0,[[77.]],[[45.]],[[32.]],[[0.]],[[0.]],[[0.]],[[26.33373194]],[[12.56606467]],[[0.]],[[0.]]
51,0,74.0,43.0,31.0,0.0,0.0,[[74.]],[[43.]],[[31.]],[[0.]],[[0.]],[[0.]],[[26.56092324]],[[12.72472269]],[[0.]],[[0.]]
52,0,72.0,40.0,32.0,0.0,0.0,[[72.]],[[40.]],[[32.]],[[0.]],[[0.]],[[0.]],[[26.71130755]],[[12.95904589]],[[0.]],[[0.]]
53,0,73.0,38.0,35.0,0.0,0.0,[[73.]],[[38.]],[[35.]],[[0.]],[[0.]],[[0.]],[[26.78618221]],[[13.26500184]],[[0.]],[[0.]]
54,0,71.0,38.0,33.0,0.0,0.0,[[71.]],[[38.]],[[33.]],[[0.]],[[0.]],[[0.]],[[27.15745065]],[[13.26500184]],[[0.]],[[0.]]
55,0,70.0,36.0,34.0,0.0,0.0,[[70.]],[[36.]],[[34.]],[[0.]],[[0.]],[[0.]],[[27.30454071]],[[13.48989001]],[[0.]],[[0.]]
56,0,70.0,37.0,33.0,0.0,0.0,[[70.]],[[37.]],[[33.]],[[0.]],[[0.]],[[0.]],[[27.66883601]],[[13.48989001]],[[0.]],[[0.]]
57,0,70.0,38.0,32.0,0.0,0.0,[[70.]],[[38.]],[[32.]],[[0.]],[[0.]],[[0.]],[[27.95684574]],[[13.56401959]],[[0.]],[[0.]]
58,0,68.0,39.0,29.0,0.0,0.0,[[68.]],[[39.]],[[29.]],[[0.]],[[0.]],[[0.]],[[28.24191104]],[[13.63774405]],[[0.]],[[0.]]
59,0,67.0,37.0,30.0,0.0,0.0,[[67.]],[[37.]],[[30.]],[[0.]],[[0.]],[[0.]],[[28.38336739]],[[13.85655159]],[[0.]],[[0.]]
60,0,65.0,36.0,29.0,0.0,0.0,[[65.]],[[36.]],[[29.]],[[0.]],[[0.]],[[0.]],[[28.59423659]],[[14.00051373]],[[0.]],[[0.]]
